ID:143, Name:Aashirya, Major:CHE, Enrollment:Senior, Year:Yes, Age:18
ID:149, Name:Joylynn, Major:CS, Enrollment:Freshman, Year:No, Age:20
ID:37, Name:Juandavid, Major:ECE, Enrollment:Freshman, Year:Yes, Age:21
ID:131, Name:Kaheem, Major:ABE, Enrollment:Freshman, Year:Yes, Age:22
ID:199, Name:Kaimani, Major:ABE, Enrollment:Sophomore, Year:Yes, Age:18
ID:171, Name:Kanishk, Major:IE, Enrollment:Freshman, Year:No, Age:19
ID:178, Name:Karsyn, Major:ECE, Enrollment:Junior, Year:No, Age:22
ID:148, Name:Kashlyn, Major:IE, Enrollment:Junior, Year:No, Age:18
ID:166, Name:Kaylianna, Major:BME, Enrollment:Senior, Year:No, Age:20
ID:52, Name:Keilynn, Major:CS, Enrollment:Freshman, Year:No, Age:20
ID:35, Name:Keliah, Major:ECE, Enrollment:Senior, Year:No, Age:20
ID:152, Name:Keslee, Major:ABE, Enrollment:Freshman, Year:Yes, Age:20
ID:71, Name:Kol, Major:CHE, Enrollment:Senior, Year:No, Age:21
ID:68, Name:Kyce, Major:AA, Enrollment:Freshman, Year:No, Age:18
ID:104, Name:Kyen, Major:ABE, Enrollment:Freshman, Year:Yes, Age:19
ID:183, Name:Kyler, Major:ECE, Enrollment:Freshman, Year:No, Age:19
ID:117, Name:Lamyiah, Major:BME, Enrollment:Freshman, Year:Yes, Age:18
ID:80, Name:Lanah, Major:ABE, Enrollment:Sophomore, Year:No, Age:22
ID:172, Name:Lejend, Major:ME, Enrollment:Senior, Year:Yes, Age:18
ID:151, Name:Lema, Major:CS, Enrollment:Sophomore, Year:No, Age:18
ID:128, Name:Leolani, Major:BME, Enrollment:Freshman, Year:Yes, Age:22
ID:164, Name:Lexander, Major:ECE, Enrollment:Senior, Year:No, Age:20
ID:194, Name:Lou, Major:ECE, Enrollment:Freshman, Year:Yes, Age:18
ID:200, Name:Lovely, Major:BME, Enrollment:Freshman, Year:No, Age:21
ID:14, Name:Luann, Major:IE, Enrollment:Junior, Year:Yes, Age:21
ID:23, Name:Lynox, Major:CS, Enrollment:Sophomore, Year:No, Age:19
ID:186, Name:Macyn, Major:IE, Enrollment:Sophomore, Year:Yes, Age:22
ID:36, Name:Malhar, Major:IE, Enrollment:Senior, Year:No, Age:21
ID:83, Name:Mariangel, Major:ABE, Enrollment:Junior, Year:Yes, Age:20
ID:79, Name:Marianna, Major:ECE, Enrollment:Senior, Year:Yes, Age:21
ID:188, Name:Marine, Major:ECE, Enrollment:Sophomore, Year:No, Age:18
ID:60, Name:Maxwel, Major:CHE, Enrollment:Senior, Year:No, Age:22
ID:107, Name:Maziya, Major:CHE, Enrollment:Senior, Year:No, Age:21
ID:33, Name:Mehjabeen, Major:IE, Enrollment:Senior, Year:No, Age:18
ID:116, Name:Melquisedec, Major:ME, Enrollment:Junior, Year:No, Age:21
ID:29, Name:Meridian, Major:CHE, Enrollment:Junior, Year:No, Age:21
ID:62, Name:Micaela, Major:CHE, Enrollment:Freshman, Year:Yes, Age:18
ID:175, Name:Micaella, Major:ABE, Enrollment:Sophomore, Year:No, Age:21
ID:31, Name:Michaelanthony, Major:CHE, Enrollment:Freshman, Year:Yes, Age:18
ID:27, Name:Miro, Major:BME, Enrollment:Freshman, Year:Yes, Age:18
ID:181, Name:Nakaylah, Major:CHE, Enrollment:Freshman, Year:No, Age:20
ID:15, Name:Nataley, Major:CS, Enrollment:Senior, Year:Yes, Age:22
ID:122, Name:Natalia, Major:CS, Enrollment:Freshman, Year:No, Age:18
ID:1, Name:Natividad, Major:CHE, Enrollment:Freshman, Year:No, Age:21
ID:157, Name:Nereida, Major:AA, Enrollment:Sophomore, Year:No, Age:20
ID:169, Name:Nikoli, Major:IE, Enrollment:Sophomore, Year:No, Age:21
ID:20, Name:Nili, Major:ECE, Enrollment:Sophomore, Year:No, Age:19
ID:42, Name:Nitara, Major:IE, Enrollment:Senior, Year:Yes, Age:19
ID:100, Name:Numa, Major:CS, Enrollment:Senior, Year:Yes, Age:22
ID:158, Name:Odinn, Major:IE, Enrollment:Senior, Year:No, Age:18
ID:110, Name:Ori, Major:ME, Enrollment:Senior, Year:Yes, Age:21
ID:70, Name:Pippi, Major:ECE, Enrollment:Senior, Year:Yes, Age:22
ID:5, Name:Premier, Major:ECE, Enrollment:Junior, Year:No, Age:22
ID:197, Name:Raedyn, Major:BME, Enrollment:Sophomore, Year:No, Age:19
ID:44, Name:Raegyn, Major:CHE, Enrollment:Senior, Year:Yes, Age:19
ID:130, Name:Ramaya, Major:ECE, Enrollment:Senior, Year:No, Age:20
ID:56, Name:Ramy, Major:CHE, Enrollment:Freshman, Year:No, Age:19
ID:73, Name:Rayhan, Major:CHE, Enrollment:Freshman, Year:Yes, Age:22
ID:38, Name:Rayleigh, Major:ECE, Enrollment:Sophomore, Year:Yes, Age:20
ID:7, Name:Redding, Major:BME, Enrollment:Senior, Year:No, Age:20
ID:198, Name:Remick, Major:ECE, Enrollment:Senior, Year:No, Age:21
ID:8, Name:Rennick, Major:CS, Enrollment:Freshman, Year:No, Age:21
ID:4, Name:Rhyla, Major:BME, Enrollment:Sophomore, Year:Yes, Age:19
ID:97, Name:Rhylee, Major:CHE, Enrollment:Freshman, Year:Yes, Age:20
ID:81, Name:Riah, Major:CHE, Enrollment:Freshman, Year:No, Age:18
ID:22, Name:Rohan, Major:IE, Enrollment:Junior, Year:No, Age:19
ID:65, Name:Ruger, Major:AA, Enrollment:Junior, Year:No, Age:18
ID:99, Name:Sadieann, Major:CS, Enrollment:Freshman, Year:No, Age:22
ID:95, Name:Sahid, Major:CS, Enrollment:Freshman, Year:Yes, Age:20
ID:147, Name:Saiyan, Major:ABE, Enrollment:Freshman, Year:No, Age:22
ID:50, Name:Sal, Major:IE, Enrollment:Junior, Year:Yes, Age:22
ID:132, Name:Salah, Major:IE, Enrollment:Junior, Year:No, Age:19
ID:45, Name:Samanvi, Major:CS, Enrollment:Senior, Year:Yes, Age:22
ID:47, Name:Samatar, Major:IE, Enrollment:Freshman, Year:No, Age:21
ID:93, Name:Samus, Major:BME, Enrollment:Senior, Year:Yes, Age:19
ID:55, Name:Sandy, Major:ECE, Enrollment:Freshman, Year:Yes, Age:22
ID:115, Name:Santiana, Major:CHE, Enrollment:Sophomore, Year:Yes, Age:19
ID:74, Name:Sarra, Major:CHE, Enrollment:Freshman, Year:Yes, Age:20
ID:118, Name:Saryiah, Major:AA, Enrollment:Freshman, Year:Yes, Age:19
ID:26, Name:Sayuri, Major:CHE, Enrollment:Junior, Year:No, Age:22
ID:165, Name:Seleny, Major:ABE, Enrollment:Freshman, Year:No, Age:20
ID:85, Name:Shani, Major:ECE, Enrollment:Freshman, Year:No, Age:21
ID:114, Name:Shifra, Major:CS, Enrollment:Sophomore, Year:Yes, Age:20
ID:140, Name:Shilo, Major:CS, Enrollment:Sophomore, Year:Yes, Age:21
ID:170, Name:Shilynn, Major:IE, Enrollment:Sophomore, Year:Yes, Age:22
ID:173, Name:Sonam, Major:CHE, Enrollment:Freshman, Year:No, Age:19
ID:63, Name:Srinidhi, Major:CS, Enrollment:Junior, Year:Yes, Age:22
ID:135, Name:Stellaluna, Major:ABE, Enrollment:Junior, Year:No, Age:19
ID:168, Name:Suhaira, Major:ECE, Enrollment:Senior, Year:No, Age:21
ID:195, Name:Tai, Major:ME, Enrollment:Freshman, Year:Yes, Age:21
ID:192, Name:Terrianna, Major:CHE, Enrollment:Senior, Year:Yes, Age:22
ID:90, Name:Tessla, Major:ME, Enrollment:Sophomore, Year:Yes, Age:22
ID:53, Name:Trisha, Major:AA, Enrollment:Junior, Year:Yes, Age:19
ID:125, Name:Truett, Major:ABE, Enrollment:Freshman, Year:No, Age:20
ID:134, Name:Trygve, Major:BME, Enrollment:Senior, Year:Yes, Age:18
ID:159, Name:Vansh, Major:ABE, Enrollment:Junior, Year:No, Age:19
ID:66, Name:Vedanshi, Major:CHE, Enrollment:Freshman, Year:Yes, Age:20
ID:75, Name:Viera, Major:ABE, Enrollment:Senior, Year:No, Age:22
ID:61, Name:Virgil, Major:ABE, Enrollment:Senior, Year:No, Age:22
ID:87, Name:Yafa, Major:CS, Enrollment:Senior, Year:No, Age:22
ID:150, Name:Yamajesty, Major:AA, Enrollment:Senior, Year:Yes, Age:19
ID:86, Name:Yeshia, Major:ABE, Enrollment:Freshman, Year:Yes, Age:21
ID:182, Name:Yisrael, Major:BME, Enrollment:Senior, Year:No, Age:22
ID:111, Name:Yohandri, Major:AA, Enrollment:Sophomore, Year:No, Age:22
ID:124, Name:Zayleah, Major:ABE, Enrollment:Sophomore, Year:Yes, Age:18
ID:123, Name:Zaylor, Major:AA, Enrollment:Freshman, Year:Yes, Age:18
ID:32, Name:Zhane, Major:ME, Enrollment:Senior, Year:Yes, Age:18
ID:9, Name:Ziyang, Major:ME, Enrollment:Freshman, Year:No, Age:19
